car,year,price,fuel,car_model,year_of_manufacture
,,21985.07,Diesel,corolla altis,2016
,,7089.55,Diesel,etios gd,2015
,,34328.36,Diesel,innova,2017
,,18656.72,Diesel,innova,2015
,,5208.96,Diesel,innova,2005
,,3731.34,Petrol,camry,2006
,,52238.81,Diesel,land cruiser,2010
,,8805.97,Petrol,corolla altis,2012
,,5149.25,Petrol,etios liva,2013
,,7089.55,Petrol,etios g,2014
,,5895.52,Diesel,etios liva,2014
,,6716.42,Diesel,corolla altis,2011
,,11119.4,Petrol,corolla altis,2013
,,3955.22,Petrol,etios liva,2011
,,7313.43,Diesel,etios cross,2014
,,5895.52,Petrol,etios g,2015
,,8208.96,Petrol,corolla altis,2013
,,2238.81,Petrol,corolla,2004
,,7835.82,Petrol,corolla altis,2010
,,21641.79,Diesel,fortuner,2012
,,10373.13,Petrol,corolla altis,2013
,,6716.42,Petrol,etios cross,2015
,,27985.07,Diesel,fortuner,2014
,,35074.63,Diesel,fortuner,2015
,,49253.73,Diesel,fortuner,2017
,,7089.55,Diesel,etios liva,2014
,,29477.61,Petrol,innova,2017
,,13805.97,Diesel,fortuner,2010
,,6492.54,Petrol,corolla altis,2011
,,21268.66,Petrol,corolla altis,2016
